driver_Id,Avg.Time,#Orders,Sale,Tip,Round
409,52,3,171.07,9.66,50
406,46,4,156.36,13.4,50
404,43,6,249.64,14.48,40
438,43,2,83.89,7.38,40
203,42,4,234.65,19.73,40
239,40,8,475.7,27.58,40
123,39,23,769.16,56.72,40
185,39,3,162.2,6.98,40
431,38,9,442.88,29.85,40
354,37,8,301.92,22.35,40
417,37,2,82.09,2.71,40
437,34,2,218.32,16.9,30
166,32,74,4303.09,286.15,30
316,32,11,418.65,28.15,30
348,32,5,242.6,16.5,30
81,31,3,148.71,9.74,30
235,31,29,1396.76,102.75,30
346,31,21,876.98,67.18,30
389,31,4,180.39,10.87,30
79,30,51,2415.14,151.36,30
173,30,25,1272.84,90.6,30
247,30,21,1348.09,87.06,30
352,30,11,508.14,41.21,30
393,30,13,452.69,38.19,30
418,30,5,220.15,16.6,30
428,30,10,491.24,30.97,30
227,29,63,2897.84,243.1,30
279,29,74,3156.64,237.1,30
313,29,86,4382.75,274.69,30
344,29,24,936.51,66.23,30
359,29,4,131.83,3.05,30
364,29,14,1224.11,65.12,30
367,29,33,1702.47,105.91,30
376,29,15,973.52,55.66,30
386,29,26,1509.06,90.07,30
398,29,23,1485.22,100.78,30
436,29,4,132.15,6.37,30
